state,act_free,sat_free
Alabama,1,0
Alaska,0,0
Arizona,1,0
Arkansas,0,0
California,0,0
Colorado,0,1
Connecticut,0,1
Delaware,0,1
District of Columbia,0,1
Florida,0,0
Georgia,0,0
Hawaii,1,0
Idaho,1,1
Illinois,0,1
Indiana,0,0
Iowa,0,0
Kansas,0,0
Kentucky,1,0
Louisiana,1,0
Maine,0,1
Maryland,0,0
Massachusetts,0,0
Michigan,0,1
Minnesota,0,0
Mississippi,1,0
Missouri,1,0
Montana,1,0
Nebraska,1,0
Nevada,1,0
New Hampshire,0,1
New Jersey,0,0
New Mexico,0,0
New York,0,1
North Carolina,1,0
North Dakota,1,0
Ohio,1,1
Oklahoma,1,1
Oregon,0,0
Pennsylvania,0,0
Rhode Island,0,1
South Carolina,1,1
South Dakota,0,0
Tennessee,1,1
Texas,0,0
Utah,1,0
Vermont,0,0
Virginia,0,0
Washington,0,0
West Virginia,0,1
Wisconsin,1,0
Wyoming,1,0
